dates;A
16.10.2007;0.000269355210980072
17.10.2007;0.000199213833249661
18.10.2007;0.000188011724878811
19.10.2007;0.000227988027232687
22.10.2007;0.000258569343666248
23.10.2007;0.000152985706170578
24.10.2007;0.000411502684734028
25.10.2007;0.000375972213563206
26.10.2007;0.00120652736801351
29.10.2007;0.00011418146114799
30.10.2007;0.000144658823608104
31.10.2007;0.000227834122431312
01.11.2007;0.000347873666957549
02.11.2007;0.000315601443908294
05.11.2007;0.000288507798016401
06.11.2007;0.000273816955321349
07.11.2007;0.000336452717902673
08.11.2007;0.000678795446452794
09.11.2007;0.0005060711377873
12.11.2007;0.000332090674093399
13.11.2007;0.000180480457174004
14.11.2007;0.000223000065969081
15.11.2007;0.000451830670011073
16.11.2007;0.00078228174959786
19.11.2007;0.000235155301842449
20.11.2007;0.000274434655409516
21.11.2007;0.000258662133536519
26.11.2007;0.00019733229038852
27.11.2007;0.000299473607882403
28.11.2007;0.000170484774761686
29.11.2007;0.00010867114096195
30.11.2007;0.000130323378369102
03.12.2007;0.000245631878391832
04.12.2007;0.00012280021542481
05.12.2007;9.73165450041152e-05
06.12.2007;0.000183503337218511
07.12.2007;8.21317835711324e-05
10.12.2007;0.000102489933824613
11.12.2007;0.000252716134008099
12.12.2007;0.000247557533359929
13.12.2007;0.000173016415444222
14.12.2007;0.000138563356300084
17.12.2007;0.00019139867364944
18.12.2007;0.000238042408916337
19.12.2007;0.000180220454811552
20.12.2007;0.000101396589019298
21.12.2007;0.000136641461733424
26.12.2007;7.76727892576111e-05
27.12.2007;9.15234610959826e-05
28.12.2007;0.000176189028536532
31.12.2007;0.000109122045972432
02.01.2008;0.000156373594381193
03.01.2008;6.48433658283773e-05
04.01.2008;0.000165801515637183
07.01.2008;0.000161008432304697
08.01.2008;0.000127258453744829
09.01.2008;0.000301649935486734
10.01.2008;0.000765059332496159
11.01.2008;0.000306779307183595
14.01.2008;0.000271710163365867
15.01.2008;0.000191206826488018
16.01.2008;0.000427234562120091
17.01.2008;0.000412615747408373
18.01.2008;0.000865005808535709
22.01.2008;0.00146757460619655
23.01.2008;0.000872445026049186
24.01.2008;0.000484644634498853
25.01.2008;0.000337674519937982
28.01.2008;0.000264078671540832
29.01.2008;0.000209043107755383
30.01.2008;0.000848531665547287
31.01.2008;0.000135334356377077
01.02.2008;0.000188604103227933
04.02.2008;0.000175812207325304
05.02.2008;0.000356877475440082
06.02.2008;0.000137266272613927
07.02.2008;0.000356005759195098
08.02.2008;0.000224011993870465
11.02.2008;0.000110831581491251
12.02.2008;0.000126600155543761
13.02.2008;0.000186161630984706
14.02.2008;0.000326263081669505
15.02.2008;0.000213266212321115
19.02.2008;0.000145302992570209
20.02.2008;0.000249764886065479
21.02.2008;0.000153582926743362
22.02.2008;0.000324840210876527
25.02.2008;0.000164575778476231
26.02.2008;0.000173815696296323
27.02.2008;0.000222847197955692
28.02.2008;0.000210784257009487
29.02.2008;0.000262114456013846
03.03.2008;0.00027486458607427
04.03.2008;0.000257225754254977
05.03.2008;0.000243694091609112
06.03.2008;0.000240746872736781
07.03.2008;0.000334938359247581
10.03.2008;0.000208644576115126
11.03.2008;0.000176625060085824
12.03.2008;0.000283526230884326
13.03.2008;0.000353078263554488
14.03.2008;0.000983574495592
17.03.2008;0.000634627461307733
18.03.2008;0.000330342995993146
19.03.2008;0.000318413046736144
20.03.2008;0.000308220564273164
24.03.2008;0.000130704667506732
25.03.2008;0.000199133519657579
26.03.2008;0.000209185088029554
27.03.2008;0.000230215542078192
28.03.2008;0.000270665887415209
31.03.2008;0.000200897324284587
01.04.2008;0.000238665986069224
02.04.2008;0.00023483331740688
03.04.2008;0.000177279764708616
04.04.2008;0.000185966080717796
07.04.2008;0.000121587126285226
08.04.2008;0.00014945588315776
09.04.2008;0.000116770391504513
10.04.2008;0.000132355791082765
11.04.2008;0.000171329004981764
14.04.2008;0.000178656059880679
15.04.2008;0.000467719924922342
16.04.2008;0.000161493092512716
17.04.2008;0.000136902338694225
18.04.2008;0.000178437070917461
21.04.2008;0.000147528997365219
22.04.2008;0.000227588208602018
23.04.2008;0.000323900804986038
24.04.2008;0.000326387763779192
25.04.2008;0.000250956632396207
28.04.2008;0.000325957173107013
29.04.2008;0.000192088997057383
30.04.2008;0.00016845612432479
01.05.2008;0.000215443408248735
02.05.2008;0.000286129875139083
05.05.2008;0.000206033994060158
06.05.2008;0.000171037973566519
07.05.2008;0.00015251610244543
08.05.2008;0.000290068554925615
09.05.2008;0.000163285949965758
12.05.2008;8.86385496729994e-05
13.05.2008;0.000119758600679767
14.05.2008;0.000287515528989522
15.05.2008;0.00260367460511054
16.05.2008;0.0003749306289708
19.05.2008;0.000347667323671888
20.05.2008;0.000557793240255043
21.05.2008;0.000343265845017477
22.05.2008;0.00022752714485201
23.05.2008;0.000221507214590187
27.05.2008;0.000185762500468905
28.05.2008;0.00017924630728364
29.05.2008;0.000192377242309377
30.05.2008;0.000143268861925218
02.06.2008;0.000228410356675743
03.06.2008;0.000247986941461409
04.06.2008;0.000248010656336783
05.06.2008;9.48952698519262e-05
06.06.2008;0.000593720193773107
09.06.2008;0.000365394909474096
10.06.2008;0.000166094350501127
11.06.2008;0.000187663949114891
12.06.2008;0.000205462440284786
13.06.2008;0.000180483191721485
16.06.2008;0.000162387820971894
17.06.2008;0.000113611363719086
18.06.2008;0.00016447229464138
19.06.2008;0.000124355468818801
20.06.2008;0.000340143243847939
23.06.2008;0.000138183870412745
24.06.2008;0.000231936758560829
25.06.2008;0.00013857858006801
26.06.2008;0.000186406806070139
27.06.2008;0.000229887390518471
30.06.2008;0.000167179217572446
01.07.2008;0.000355507443030905
02.07.2008;0.000238306084374875
07.07.2008;0.000347298979376471
08.07.2008;0.000358961031218559
09.07.2008;0.000226691603863094
10.07.2008;0.000517130132188205
11.07.2008;0.000348400715887996
14.07.2008;0.000249722046803133
15.07.2008;0.000379089815425929
16.07.2008;0.00027098081435461
17.07.2008;0.000234348458598122
18.07.2008;0.00018370432286642
21.07.2008;0.000120358705002458
22.07.2008;0.000171223997954718
23.07.2008;0.000257132299378972
24.07.2008;0.000145263520366058
25.07.2008;0.000114426087548345
28.07.2008;0.000157109981659877
29.07.2008;0.000171672615035047
30.07.2008;0.000203455327598586
31.07.2008;0.000164760000562755
01.08.2008;0.000349032432212219
04.08.2008;0.000134873803015289
05.08.2008;0.000161488751409761
06.08.2008;0.000116767558627582
07.08.2008;0.000183209465852092
08.08.2008;0.000148889338815264
11.08.2008;8.92447314126624e-05
12.08.2008;0.000107271983652462
13.08.2008;0.000230666088795689
14.08.2008;0.000348093611637304
15.08.2008;0.000217269295775441
18.08.2008;0.000151255405327556
19.08.2008;9.45127958164992e-05
20.08.2008;0.000204230476579569
21.08.2008;0.000214961801344489
22.08.2008;7.14038629754539e-05
25.08.2008;0.000143486522604211
26.08.2008;0.000175592285007402
27.08.2008;0.000176643372447632
28.08.2008;0.00018163798575096
29.08.2008;0.000122450228075372
02.09.2008;0.000268328199235976
03.09.2008;0.000309129464511681
04.09.2008;0.000266379387496407
05.09.2008;0.000297065796760057
08.09.2008;0.000464749381712385
09.09.2008;0.00025710033304445
10.09.2008;0.000314481533496946
11.09.2008;0.00026325974895798
12.09.2008;0.000284969718388364
15.09.2008;0.000698090311743058
16.09.2008;0.00135402457026852
17.09.2008;0.000772966740630575
18.09.2008;0.00125985730922772
19.09.2008;0.0013253693646459
22.09.2008;0.000614460816413589
23.09.2008;0.000732916772486602
24.09.2008;0.000801419080446306
25.09.2008;0.000217496055919099
26.09.2008;0.000305841506556743
